"ASIN","Product Title","Shipped COGS","Shipped COGS - % of Total","Shipped COGS - Prior Period","Shipped COGS - Last Year","Shipped Units","Shipped Units - % of Total","Shipped Units - Prior Period","Shipped Units - Last Year","Ordered Units","Ordered Units - % of Total","Ordered Units - Prior Period","Ordered Units - Last Year","Customer Returns","Free Replacements","Subcategory (Sales Rank)","Average Sales Price","Average Sales Price - Prior Period","Glance Views","Change in Glance View - Prior Period","Change in GV Last Year","Conversion Rate","Rep OOS","Rep OOS - % of Total","Rep OOS - Prior Period","LBB (Price)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B074NH61RT","Furinno 5-Cube Open Shelf, White","$6,036.10","5.22%","53.80%","227.57%",378,"5.89%","26.85%","289.69%",206,"3.52%","-36.02%","415.00%",7,2,1,"$28.62","3.02%","4,263","-21.79%","-0.86%","4.83%","4.10%","2.44%","5.60%","0.00%"
"B01BWZWEAK","FURINNO JAYA Simple Home 3-Tier Adjustable Shelf Bookcase, White","$4,783.50","4.14%","22.10%","-14.24%",268,"4.18%","20.18%","-10.07%",224,"3.83%","-13.51%","-20.00%",12,1,1,"$32.21","-0.01%","5,175","-6.64%","-3.34%","4.33%","2.80%","2.05%","-4.84%","0.00%"
"B07FL6D1Z8","FURINNO Just 3-Tier End Table, 1-Pack, French Oak Grey/Black","$4,194.41","3.63%","9.56%","5,370.02%",513,"8.00%","5.56%","4,175.00%",466,"7.96%","-15.12%","1,692.31%",7,2,1,"$16.23","0.00%","3,813","-38.82%","324.61%","12.22%","0.75%","0.39%","-47.46%","1.38%"
"B01K8JEEGS","FURINNO JAYA Large Entertainment Stand for TV Up to 50 Inch, Blackwood","$3,254.96","2.82%","-37.44%","3,832.06%",121,"1.89%","-37.95%","5,950.00%",64,"1.09%","-55.24%","0.00%",1,1,1,"$55.24","6.57%","2,180","-44.05%","0.00%","2.94%","1.18%","0.35%","361.65%","0.00%"
"B074NHT1SM","Furinno 5-Tier Reversible Color Open Shelf Bookcase , White","$2,747.40","2.38%","10.53%","1,651.05%",110,"1.71%","10.00%","1,000.00%",95,"1.62%","-15.18%","2,275.00%",1,2,4,"$34.38","4.08%","3,019","-4.07%","-15.24%","3.15%","3.85%","1.58%","-19.64%","0.00%"
"B076XXF21V","FURINNO Econ Multipurpose Home Office Computer Writing Desk, French Oak Grey","$2,502.42","2.16%","17.31%","642.91%",84,"1.31%","12.00%","500.00%",32,"0.55%","-60.00%","39.13%",6,2,9,"$52.88","3.52%","1,849","-49.63%","-65.40%","1.73%","5.35%","1.44%","86.40%","0.50%"
"B071VG6T2P","Furinno Basic 3-Tier Bookcase Storage Shelves, French Oak Grey","$2,275.98","1.97%","-15.31%","106.60%",120,"1.87%","-21.05%","135.29%",45,"0.77%","-68.53%","-8.16%",4,1,7,"$30.06","5.46%","1,843","-52.91%","27.46%","2.44%","6.34%","1.71%","91.41%","0.00%"
"B074NHRZQX","Furinno 3-Tier Open Shelf Bookcase, White","$1,897.53","1.64%","-4.25%","0.30%",187,"2.92%","-3.11%","34.53%",177,"3.02%","-10.15%","92.39%",6,0,3,"$24.49","-0.24%","4,120","-2.23%","0.66%","4.30%","1.12%","0.64%","49.78%","0.00%"
"B00EDTE2Q2","Furinno Turn-S-Tube Wide TV Entertainment Center, Black/Grey","$1,845.20","1.60%","3.73%","223.90%",76,"1.18%","-1.30%","117.14%",56,"0.96%","-3.45%","75.00%",2,0,19,"$33.99","0.00%","1,478","1.51%","267.66%","3.79%","3.53%","0.72%","-10.02%","0.00%"
"B07FKWT7HS","FURINNO Econ Multipurpose Home Office Computer Writing Desk, White/Black","$1,814.09","1.57%","9.86%","64.49%",51,"0.80%","4.08%","54.55%",48,"0.82%","2.13%","-23.81%",7,1,23,"$56.07","5.62%","1,915","-4.25%","-10.85%","2.51%","0.00%","0.00%","0.00%","0.00%"
"B01NBJMHFK","Furinno 11157GYW/BK Andrey End Table Nightstand with Bin Drawer, 1-Pack, French Oak Grey","$1,740.50","1.51%","25.44%","958.05%",161,"2.51%","31.97%","906.25%",158,"2.70%","8.22%","586.96%",6,0,6,"$21.78","-0.70%","2,563","-7.41%","117.76%","6.16%","0.08%","0.03%","-80.28%","0.00%"
"B007KLYD46","Furinno (99557BK/GY) Turn-N-Tube 4-Tier Multipurpose Shelf Display Rack - Black/Grey","$1,716.75","1.49%","-24.50%","138.14%",156,"2.43%","-23.90%","262.79%",43,"0.73%","-78.61%","0.00%",1,0,5,"$23.89","4.26%","1,527","-53.50%","-44.55%","2.82%","0.96%","0.20%","68.63%","0.00%"
"B07C2GHNHY","FURINNO Laval Button Tufted Upholstered Platform Bed - King (Glacier)","$1,702.90","1.47%","37.37%","-63.00%",16,"0.25%","33.33%","-46.67%",6,"0.10%","50.00%","-62.50%",1,0,89,"$214.60","0.00%",991,"-8.49%","6.79%","0.61%","45.89%","6.27%","29.95%","0.00%"
"B01BWZWDZG","FURINNO JAYA Simple Home 3-Tier Adjustable Shelf Bookcase, Black","$1,622.49","1.40%","19.10%","26.49%",101,"1.57%","21.69%","40.28%",167,"2.85%","209.26%","116.88%",4,1,9,"$32.44","-4.88%","2,797","97.67%","26.56%","5.97%","0.49%","0.19%","-54.94%","0.00%"
"B00PC5DRPS","Furinno Pasir 3-Tier Open Shelf, Espresso","$1,606.40","1.39%","20.69%","-73.26%",117,"1.82%","15.84%","-75.93%",96,"1.64%","-18.64%","-78.13%",7,0,7,"$30.76","-0.17%","2,518","-8.20%","-61.16%","3.81%","1.20%","0.42%","12.74%","0.00%"
"B00ZPPNZ0W","Furinno Pasir 4 Tier Open Shelf, Espresso","$1,517.00","1.31%","-2.95%","-22.68%",78,"1.22%","-1.27%","-22.00%",63,"1.08%","-10.00%","-31.52%",2,0,6,"$46.68","0.20%","1,380","-26.71%","-52.13%","4.57%","2.84%","0.56%","82.85%","0.00%"
"B01M0SEIV6","FURINNO FG16011 Tioman Hardwood Flower Box, 1-Pack, Natural","$1,506.89","1.30%","59.68%","-11.37%",36,"0.56%","63.64%","50.00%",38,"0.65%","72.73%","58.33%",3,0,2,"$86.74","0.00%",901,"4.77%","-7.40%","4.22%","0.77%","0.09%","11.27%","0.00%"
"B07C2G3C7F","FURINNO Laval Button Tufted Upholstered Platform Bed - Twin (Glacier)","$1,443.94","1.25%","-19.26%","0.00%",21,"0.33%","-25.00%","0.00%",28,"0.48%","40.00%","0.00%",3,2,128,"$130.14","0.28%","1,042","-14.10%","0.00%","2.69%","1.04%","0.15%","82.71%","0.00%"
"B017298MJ2","Furinno Econ TV Stand Entertainment Center, Espresso","$1,357.50","1.17%","11.82%","165.40%",68,"1.06%","7.94%","126.67%",66,"1.13%","4.76%","69.23%",4,2,15,"$44.16","-0.05%","2,342","-8.91%","24.38%","2.82%","1.23%","0.42%","6.90%","5.49%"
"B00OR1KQQ6","Furinno Simplistic End Table, Espresso/Black","$1,324.46","1.15%","-24.30%","-78.63%",91,"1.42%","-24.79%","-79.69%",105,"1.79%","0.96%","-77.07%",4,1,11,"$36.06","-0.07%","2,246","0.22%","-73.80%","4.67%","1.13%","0.35%","-21.07%","0.00%"
"B00E3V3YX2","Furinno Econ Multipurpose Home Office Computer Writing Desk, Black/Brown","$1,312.05","1.14%","47.21%","494.90%",50,"0.78%","42.86%","354.55%",38,"0.65%","-7.32%","533.33%",5,1,29,"$49.82","0.00%","1,428","-10.75%","13.69%","2.66%","0.90%","0.18%","-53.89%","0.00%"
"B01FH8O48S","FURINNO LAci 4-Bins System Rack, Oak/Black/Light Brown","$1,237.55","1.07%","-28.44%","1,345.40%",124,"1.93%","-26.63%","1,966.67%",91,"1.55%","-64.03%","1,037.50%",5,0,5,"$15.61","-2.09%","1,554","-60.42%","227.16%","5.86%","1.51%","0.33%","360.55%","48.00%"
"B00OR1KO22","Furinno Simplistic End Table, French Oak Grey/Grey","$1,193.54","1.03%","-7.79%","-33.98%",74,"1.15%","-11.90%","-39.84%",51,"0.87%","-29.17%","-59.52%",1,0,19,"$32.83","10.33%","1,475","-6.53%","-59.37%","3.46%","0.47%","0.09%","-67.21%","0.00%"
"B003VP5TPW","Furinno Turn-N-Tube 5 Tier Corner Shelf, Espresso/Black","$1,089.80","0.94%","-14.41%","209.65%",113,"1.76%","-16.91%","318.52%",105,"1.79%","-22.79%","3,400.00%",8,1,14,"$24.12","-0.06%","2,808","-7.27%","162.18%","3.74%","0.39%","0.15%","68.99%","0.04%"
"B081CNCQ5M","FURINNO Laval Double Row Nail Head 12PC Slat Style Bed Frame, Twin, Linen","$1,074.00","0.93%","11.11%","0.00%",9,"0.14%","0.00%","0.00%",7,"0.12%","-22.22%","0.00%",0,1,110,"$137.99","0.00%",974,"-1.22%","0.00%","0.72%","0.00%","0.00%","0.00%","0.00%"
"B01CP35K1I","FURINNO Efficient Home Laptop Notebook Computer Desk, Square Side Shelves, French Oak Grey/Black","$1,044.05","0.90%","25.66%","-88.33%",70,"1.09%","22.81%","-83.29%",83,"1.42%","45.61%","-76.42%",2,0,39,"$30.32","0.00%","2,055","7.65%","-59.21%","4.04%","1.57%","0.45%","17.68%","0.00%"
"B07FKFPYJP","FURINNO Turn-N-Tube 5-Tier Multipurpose Shelf Display Rack, Single, Columbia Walnut/Black","$1,043.82","0.90%","-5.85%","2,801.11%",43,"0.67%","0.00%","2,050.00%",38,"0.65%","-11.63%","137.50%",0,0,10,"$32.73","0.00%",718,"-2.45%","21.69%","5.29%","0.68%","0.07%","69.86%","0.00%"
"B00EDTE32K","Furinno Turn-S-Tube Wide TV Entertainment Center, Espresso/Black","$923.84","0.80%","8.28%","-83.18%",51,"0.80%","8.51%","-82.17%",66,"1.13%","24.53%","-72.27%",4,0,23,"$43.96","0.00%","2,199","17.34%","-50.42%","3.00%","0.77%","0.23%","-58.16%","0.00%"
"B00LU0ZS74","Furinno Turn-N-Tube 3-Tier Entertainment TV Stands, Dark Brown/Black","$907.40","0.78%","-0.96%","30.53%",52,"0.81%","6.12%","33.33%",45,"0.77%","-13.46%","164.71%",2,0,25,"$41.11","0.00%","1,541","-8.98%","161.63%","2.92%","0.39%","0.08%","-55.99%","0.00%"
"B07HG5Q8TP","FURINNO Just 3-Tier End Table, 1-Pack, Americano/Black","$889.20","0.77%","550.00%","-7.32%",78,"1.22%","550.00%","-10.34%",102,"1.74%","41.67%","78.95%",0,0,47,"$16.93","-39.85%","1,309","43.22%","-23.85%","7.79%","0.15%","0.03%","39.35%","0.00%"
"B00631YUEM","FURINNO Just 3-Tier End Table, 1-Pack, White/White,11087WH(EX)/WH","$855.60","0.74%","13.20%","-72.93%",127,"1.98%","19.81%","-59.03%",101,"1.72%","-21.71%","-66.33%",0,0,19,"$15.49","0.00%","1,133","-9.36%","-66.49%","8.91%","2.56%","0.41%","7.02%","0.00%"
"B0056NSQ16","Furinno Turn-N-Tube 3-Tier Double Size Storage Display Rack, Espresso/Black","$851.71","0.74%","67.98%","-13.17%",50,"0.78%","51.52%","-21.88%",50,"0.85%","8.70%","-44.44%",0,0,6,"$34.81","-0.04%",799,"0.00%","-65.46%","6.26%","2.47%","0.27%","565.84%","0.00%"
"B01BWXPUJ4","FURINNO JAYA Simply Home 5-Shelf Bookcase, 5-Tier, Black","$782.00","0.68%","161.54%","38.09%",34,"0.53%","209.09%","88.89%",28,"0.48%","-30.00%","115.38%",0,0,12,"$92.06","-0.40%",649,"5.19%","41.09%","4.31%","0.00%","0.00%","0.00%","0.00%"
"B07FKX3H1H","FURINNO Just 3-Tier End Table, 1-Pack, Columbia Walnut/Black","$770.10","0.67%","-0.86%","-5.48%",112,"1.75%","-1.75%","4.67%",111,"1.90%","0.91%","11.00%",4,1,17,"$22.51","0.03%","1,411","-3.75%","2.17%","7.87%","1.32%","0.26%","-13.50%","0.93%"
"B01BWXPV1G","FURINNO JAYA Simply Home 5-Shelf Bookcase, 5-Tier, White","$759.00","0.66%","-53.52%","-52.30%",32,"0.50%","-54.93%","-30.43%",44,"0.75%","33.33%","238.46%",4,1,15,"$72.50","3.99%","1,178","-13.00%","78.48%","3.74%","0.83%","0.14%","-4.49%","0.00%"
"B085RZ3ZNT","FURINNO Bastia Vintage Button Tufted Sofas, Navy Velvet","$732.60","0.63%","80.00%","0.00%",2,"0.03%","100.00%","0.00%",2,"0.03%","0.00%","0.00%",0,0,30,"$441.27","0.00%",214,"-3.60%","0.00%","0.93%","0.00%","0.00%","0.00%","0.00%"
"B01CPADIB0","FURINNO Turn-S-Tube TV Entertainment Center, French Oak Grey","$720.96","0.62%","26.23%","-69.35%",34,"0.53%","36.00%","-64.95%",26,"0.44%","-21.21%","-75.70%",6,1,34,"$45.66","0.00%",831,"-4.70%","-55.03%","3.13%","0.48%","0.05%","-30.00%","0.00%"
"B00NIYX9LC","FURINNO Simplistic Study Table, Espresso","$713.33","0.62%","20.28%","-91.15%",41,"0.64%","17.14%","-90.38%",48,"0.82%","11.63%","-80.33%",3,0,93,"$28.24","0.00%","2,501","2.79%","-68.52%","1.92%","1.33%","0.46%","-12.35%","0.00%"
"B07456BG9P","Furinno FG17685 Tioman Outdoor Patio Furniture Hardwood Deck Box in Teak Oil, Natural","$711.30","0.62%","235.80%","635.04%",5,"0.08%","150.00%","400.00%",3,"0.05%","-25.00%","0.00%",2,1,28,"$195.19","0.00%",357,"-13.98%","0.00%","0.84%","3.32%","0.18%","-23.17%","0.00%"
"B00KCSHQTI","Furinno Turn-N-Tube End Table Corner Shelves, Set of 2, Dark Cherry/Black","$705.45","0.61%","-36.59%","16.02%",45,"0.70%","-34.78%","28.57%",28,"0.48%","-60.00%","-20.00%",1,0,41,"$30.64","3.18%",828,"-52.85%","-15.16%","3.38%","5.35%","0.64%","375.35%","0.98%"
"B00OR1KPL2","Furinno Simplistic A Frame Computer Desk, Black/French Oak Grey","$704.40","0.61%","-24.71%","-31.64%",27,"0.42%","-30.77%","-49.06%",27,"0.46%","12.50%","68.75%",5,0,95,"$41.98","0.00%","1,008","-2.23%","-46.35%","2.68%","1.25%","0.18%","21.14%","0.00%"
"B07H2QSH1G","Furinno Turn-N-Tube 5 Tier Corner Display Rack Multipurpose Shelving Unit, French Oak Grey/Black","$693.10","0.60%","32.42%","984.66%",41,"0.64%","28.12%","925.00%",37,"0.63%","-27.45%","19.35%",0,0,28,"$25.60","0.00%",638,"-3.77%","-43.69%","5.80%","0.47%","0.04%","0.00%","0.00%"
"B005PO558I","Furinno (99557BE/WH) Turn-N-Tube 4-Tier Multipurpose Shelf Display Rack - Beech/White","$651.00","0.56%","-26.09%","0.00%",42,"0.65%","-27.59%","0.00%",52,"0.89%","18.18%","188.89%",2,0,44,"$25.76","0.00%","1,727","-5.83%","61.55%","3.01%","3.86%","0.91%","-5.22%","0.00%"
"B004EJY806","Furinno (99557EX/BK) Turn-N-Tube 4-Tier Multipurpose Shelf Display Rack - Espresso/Black","$646.15","0.56%","-33.83%","-67.93%",42,"0.65%","-33.33%","-67.69%",21,"0.36%","-58.82%","-75.58%",1,0,40,"$27.26","18.67%",489,"-46.15%","-74.73%","4.29%","8.94%","0.64%","0.74%","0.00%"
"B07FKFPZLW","FURINNO Turn-N-Tube 5-Tier Multipurpose Shelf Display Rack, Single, Beech/White","$626.17","0.54%","-6.20%","-7.00%",34,"0.53%","-10.53%","21.43%",32,"0.55%","-21.95%","3.23%",0,1,16,"$33.93","0.00%",539,"0.56%","-46.79%","5.94%","0.00%","0.00%","0.00%","0.00%"
"B00KFM0DX2","FURINNO Turn-N-Tube 3-Tier TV Stand, Espresso/Black","$615.70","0.53%","30.56%","-52.88%",47,"0.73%","30.56%","-49.46%",54,"0.92%","28.57%","-44.33%",0,0,28,"$37.28","-7.20%",677,"-12.53%","-68.08%","7.98%","0.58%","0.05%","-43.25%","0.00%"
"B00KFM0E0E","FURINNO Turn-N-Tube No Tools 2-Tier Elevated TV Stand, Espresso/Black","$615.56","0.53%","-0.17%","142.17%",68,"1.06%","-2.86%","161.54%",85,"1.45%","23.19%","254.17%",3,0,47,"$19.63","0.00%","1,555","2.98%","87.58%","5.47%","0.38%","0.08%","-74.48%","0.85%"
"B01BWZWE8W","FURINNO JAYA Simple Home 3-Tier Adjustable Shelf Bookcase, Espresso","$583.65","0.50%","48.23%","-53.40%",36,"0.56%","50.00%","-37.93%",24,"0.41%","-27.27%","-55.56%",3,0,26,"$32.19","0.18%",507,"-0.39%","-46.91%","4.73%","1.34%","0.09%","15.77%","0.00%"
"B07FLWGKQR","FURINNO JAYA Simple Home 3-Tier Adjustable Shelf Bookcase, French Oak Grey","$547.34","0.47%","-42.61%","1,030.87%",25,"0.39%","-39.02%","1,150.00%",37,"0.63%","12.12%","1,133.33%",0,0,53,"$35.39","3.02%",849,"-2.75%","95.62%","4.36%","6.57%","0.76%","87.21%","0.00%"
"B06VV92MK1","Furinno Turn-N-Tube Display Rack, 3-Tier Single, French Oak Grey/Black","$545.75","0.47%","0.21%","-11.20%",59,"0.92%","1.72%","13.46%",38,"0.65%","-38.71%","-40.62%",0,0,29,"$22.88","-0.04%","1,070","-11.79%","-56.61%","3.55%","0.18%","0.03%","-24.64%","0.00%"
"B082MN73KY","FURINNO Pessac PU Leather Upholstered Platform, Twin, Black","$543.00","0.47%","500.00%","0.00%",6,"0.09%","500.00%","0.00%",3,"0.05%","0.00%","0.00%",0,0,138,"$142.34","0.00%",148,"8.03%","0.00%","2.03%","0.00%","0.00%","0.00%","0.00%"
"B06XKRJYKR","Furinno FG16409SC Tioman Hardwood Patio/Garden/Outdoor Porch Swing, 2-Seater Without Frame, Natural","$534.60","0.46%","-23.27%","0.00%",6,"0.09%","-33.33%","0.00%",11,"0.19%","37.50%","37.50%",1,1,135,"$158.69","9.12%",380,"-4.76%","47.29%","2.89%","3.80%","0.20%","93.20%","0.00%"
"B01CP2K9WE","FURINNO Simple Design Coffee Table, French Oak Grey/Black","$512.75","0.44%","34.62%","75.00%",35,"0.55%","40.00%","75.00%",37,"0.63%","5.71%","-24.49%",0,0,22,"$37.21","-7.09%","1,172","15.47%","-7.06%","3.16%","0.25%","0.04%","-56.35%","50.02%"
"B007WUZPLA","Furinno 99634 BE/WH Turn-N-Tube 3-Tier Double Size Storage Display Rack, Beech/White","$499.15","0.43%","-23.69%","-37.41%",24,"0.37%","-22.58%","-55.56%",22,"0.38%","-8.33%","-52.17%",2,0,21,"$39.09","12.02%",566,"-16.64%","-41.47%","3.89%","0.53%","0.04%","-78.41%","0.00%"
"B007E4WUEO","Furinno Turn-N-Tube 5 Tier Corner Shelf, Black/Grey","$497.00","0.43%","13.42%","2,529.63%",52,"0.81%","23.81%","2,500.00%",60,"1.02%","71.43%","100.00%",2,0,42,"$21.18","0.00%",851,"8.55%","7.86%","7.05%","0.00%","0.00%","-100.00%","1.29%"
"B00OR1KMRO","Furinno Simplistic a Frame Computer Desk, Espresso","$483.60","0.42%","3.33%","0.00%",31,"0.48%","3.33%","0.00%",31,"0.53%","-16.22%","0.00%",3,0,85,"$38.68","0.00%","1,099","8.49%","24.74%","2.82%","1.07%","0.16%","-20.63%","0.00%"
"B076HVJ42P","FURINNO Econ Multipurpose Home Office Computer Writing Desk, regular, Dark Walnut","$474.12","0.41%","-25.00%","0.00%",12,"0.19%","-20.00%","0.00%",11,"0.19%","-8.33%","0.00%",0,0,758,"$54.68","-0.89%",547,"-16.74%","0.00%","2.01%","0.54%","0.04%","19.68%","0.00%"
"B06XGQKS1R","Furinno FG16409 Tioman Hardwood Patio Furniture Porch Swing with Stand in Teak Oil, 2-Seater with Frame, Natural","$473.16","0.41%","-50.00%","0.00%",4,"0.06%","-50.00%","0.00%",8,"0.14%","0.00%","33.33%",2,0,119,"$269.86","0.00%",564,"7.43%","305.76%","1.42%","1.57%","0.12%","-46.89%","0.00%"
"B082MNXYHN","FURINNO Pessac PU Leather Upholstrered Platform, King, White","$472.80","0.41%","0.00%","-66.67%",3,"0.05%","0.00%","-66.67%",2,"0.03%","0.00%","0.00%",0,0,162,"$233.10","0.00%",183,"5.78%","-44.04%","1.09%","4.37%","0.11%","51.26%","0.00%"
"B0883BJ3SX","Furinno Turn-N-Tube End Table Set of 2, Original, White/White","$462.00","0.40%","17.65%","0.00%",19,"0.30%","11.76%","0.00%",17,"0.29%","-29.17%","0.00%",0,1,165,"$28.16","0.29%",354,"-1.94%","0.00%","4.80%","0.00%","0.00%","0.00%","0.00%"
"B082MNXBHZ","FURINNO Pessac PU Leather Upholstered Platform, Queen, White,FB19821QWH","$455.50","0.39%","101.91%","-43.56%",5,"0.08%","150.00%","0.00%",6,"0.10%","50.00%","500.00%",0,0,144,"$164.42","0.00%",235,"-22.19%","-43.78%","2.55%","0.00%","0.00%","-100.00%","0.00%"
"B075H7XP3D","FURINNO 17017 Turn-N-Tube End Table, 1-Pack, Espresso","$451.48","0.39%","-2.02%","-4.48%",28,"0.44%","-12.50%","0.00%",20,"0.34%","-20.00%","185.71%",2,0,123,"$23.57","0.00%",535,"0.00%","9.18%","3.74%","6.61%","0.49%","-16.98%","0.00%"
"B007E4Y5T2","Furinno Turn-n-Tube 5-Tier Corner Shelf, Beech/White","$440.30","0.38%","26.12%","-60.47%",45,"0.70%","25.00%","-38.36%",77,"1.31%","120.00%","14.93%",0,1,37,"$26.21","0.00%",820,"5.67%","-43.13%","9.39%","0.85%","0.09%","556.88%","0.00%"
"B07FKWN7TW","FURINNO Econ Multipurpose Home Office Computer Writing Desk, Columbia Walnut/Dark Brown","$440.00","0.38%","-16.67%","-89.43%",10,"0.16%","-16.67%","-89.47%",10,"0.17%","25.00%","-89.01%",0,0,209,"$55.35","-0.29%",490,"-26.20%","-68.02%","2.04%","4.80%","0.33%","-16.31%","0.00%"
"B002JM8TIM","Furinno (99557LC/BK) Turn-N-Tube 4-Tier Multipurpose Shelf Display Rack - Light Cherry/Black","$436.05","0.38%","82.33%","1,947.18%",37,"0.58%","68.18%","1,750.00%",65,"1.11%","35.42%","1,200.00%",0,0,54,"$23.50","2.40%",879,"5.78%","-39.63%","7.39%","0.22%","0.03%","0.00%","1.03%"
"B00BGNI6I8","Furinno 99811EX/WH Turn-N-Tube 5 Tier Corner Shelf, Espresso/White","$433.00","0.37%","121.31%","1,338.54%",29,"0.45%","123.08%","1,350.00%",21,"0.36%","-22.22%","2,000.00%",0,0,12,"$19.90","1.69%",547,"-3.19%","35.40%","3.84%","2.36%","0.18%","21.40%","0.37%"
"B084PLF6N2","FURINNO 11-Cube Reversible Open Shelf Bookcase, White","$432.00","0.37%","100.00%","0.00%",12,"0.19%","100.00%","0.00%",4,"0.07%","-60.00%","0.00%",0,0,42,"$58.83","-4.67%",59,"-71.90%","0.00%","6.78%","71.95%","1.60%","105.77%","0.00%"
"B01NBJTYG8","FURINNO Andrey End Table Nightstand Set, 2-Pack, French Oak Grey","$413.56","0.36%","-60.57%","-86.56%",21,"0.33%","-61.11%","-83.46%",34,"0.58%","9.68%","-79.14%",4,0,61,"$53.82","-1.18%","1,160","-18.48%","-72.49%","2.93%","0.00%","0.00%","-100.00%","0.00%"
"B07CBY8XDR","Furinno Laval Button Tufted Upholstered Platform Bed - Queen (Glacier)","$398.55","0.34%","200.00%","-82.35%",3,"0.05%","200.00%","-82.35%",0,"0.00%","0.00%","-100.00%",0,0,606,"$191.71","0.00%",0,"0.00%","-100.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"B00E3V3XBA","Furinno Go Green Home Laptop Notebook Computer Desk/Table, With 2 Bin Drawers, Black/Grey/Black","$386.75","0.33%","30.00%","-81.27%",20,"0.31%","17.65%","-75.90%",0,"0.00%","0.00%","0.00%",1,0,163,"$35.63","0.00%",0,"0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%"
"B083FQ1MTC","FURINNO Turn-N-Tube Space Saving Corner Desk, French Oak Grey/Black","$386.40","0.33%","71.43%","200.00%",12,"0.19%","71.43%","200.00%",6,"0.10%","-25.00%","500.00%",0,0,208,"$46.26","2.27%",245,"20.10%","1,125.00%","2.45%","5.65%","0.19%","-8.81%","0.00%"
"B0743BNRM8","Furinno FG17319 Tioman Outdoor Hardwood Patio Furniture Mediterranean Bench with Cushion, 1, Natural","$356.85","0.31%","50.00%","0.00%",3,"0.05%","50.00%","0.00%",3,"0.05%","0.00%","200.00%",0,0,66,"$169.98","0.00%",47,"-36.49%","30.56%","6.38%","2.08%","0.01%","-72.22%","0.00%"
"B00DD5ZP6I","Furinno Turn-N-Tube Rounded Corner TV Entertainment Center, Espresso/Black","$350.27","0.30%","-11.64%","1,469.31%",17,"0.27%","-15.00%","1,600.00%",12,"0.20%","0.00%","0.00%",1,0,164,"$28.64","0.00%",275,"12.70%","0.00%","4.36%","1.78%","0.07%","48.28%","0.00%"
"B083FPLNM7","FURINNO Turn-N-Tube Tall End Table, French Oak Grey/Black/Black","$350.17","0.30%","533.33%","0.00%",19,"0.30%","533.33%","0.00%",16,"0.27%","6.67%","0.00%",1,0,200,"$23.93","0.00%",368,"-0.54%","0.00%","4.35%","3.78%","0.19%","27.62%","0.00%"
"B07HGCM2ZN","FURINNO Efficient Home Laptop Notebook Computer Desk, Square Side Shelves, Americano/Black","$338.53","0.29%","6.36%","457.80%",15,"0.23%","7.14%","400.00%",13,"0.22%","-27.78%","0.00%",0,0,231,"$33.56","0.00%",324,"4.18%","0.00%","4.01%","0.92%","0.04%","-2.75%","0.00%"
"B07FMR8RM7","FURINNO Simplistic End Table, French Oak Grey/Black","$336.86","0.29%","86.95%","-55.67%",17,"0.27%","70.00%","-54.05%",14,"0.24%","-33.33%","-58.82%",1,0,124,"$38.73","0.00%",294,"-13.53%","-80.37%","4.76%","0.00%","0.00%","0.00%","0.00%"
"B00JV6G364","Furinno Turn-N-Tube 5-Tier Corner Multipurpose Display Shelves, Set of 2","$334.95","0.29%","22.22%","16.71%",10,"0.16%","11.11%","11.11%",12,"0.20%","0.00%","-40.00%",1,1,60,"$42.17","0.00%",356,"34.85%","-1.93%","3.37%","5.88%","0.28%","30.39%","0.00%"
"B01LXJG7O1","Furinno FG16918 Tioman Hardwood Patio Furniture Adirondack Chair in Teak Oil, Large, Natural","$307.53","0.27%","0.00%","0.00%",3,"0.05%","0.00%","0.00%",0,"0.00%","-100.00%","0.00%",0,0,234,"$137.20","0.00%",27,"-10.00%","0.00%","0.00%","3.57%","0.01%","0.00%","0.00%"
"B074CM2TTP","Furinno FG17744 Tioman Outdoor Hardwood Patio Furniture Sun Lounger with Tray in Teak Oil, Natural","$306.44","0.27%","-54.11%","0.00%",3,"0.05%","-40.00%","0.00%",0,"0.00%","-100.00%","-100.00%",1,0,192,"$179.45","0.20%",906,"-20.04%","1,609.43%","0.00%","100.00%","12.35%","0.00%","0.00%"
